EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,POTENTIAL_HURT_LVL3,POTENTIAL_HURT_LVL4,POTENTIAL_HURT_LVL5,POTENTIAL_HURT_TOTAL,ACTUAL_HURT_A3,ACTUAL_HURT_A4,ACTUAL_HURT_TOTAL,SPILLS
Upstream,Upstream Deepwater,NA Other,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Indonesia,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - US North,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Abu Dhabi,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Europe Opt & Trading,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - EAME BNLG,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - EAME Trading,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL LA MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Brazil,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Out of scope,Out of scope,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Other,ALL,ALL,2021,0.148356,0.018976,86,11,0.031051,0.026980,0.035315,18,68,91,11,170,0,0,0,37
Upstream,Upstream Unconventional,Central,2022,0.716132,0.102305,14,2,0.051152,0.000000,0.077344,1,1,2,0,3,0,0,0,55
EMPS Energy Products,AM Fuels,AM Fuels - US North,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Imperial Oil / Canada West,2021,0.374792,0.035137,32,3,0.035137,0.023902,0.045932,3,3,7,0,10,0,0,0,3
Upstream,Upstream Conventional/HO,ALL,2020,0.174197,0.008567,61,3,0.025701,0.029584,0.024118,9,13,14,0,27,1,0,1,14
EMPS Specialty Products,Finished Lubes,FL EAME MBU,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,0,1,0,0,0,0
Upstream,Upstream Conventional/HO,ALL,2021,0.185791,0.015483,60,5,0.043351,0.053919,0.039094,14,9,13,1,23,0,0,0,4
EMPS Chem Products,Other,Other Chem,2020,0.087194,0.005813,15,1,0.011626,0.010016,0.013852,2,80,15,0,95,0,0,0,4
Upstream,Upstream Conventional/HO,Iraq,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Equatorial Guinea,2022,0.143705,0.071853,2,1,0.000000,0.000000,0.000000,0,0,1,1,2,0,0,0,0
Upstream,Upstream Conventional/HO,Kazakhstan,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Central,2019,0.586830,0.108672,27,5,0.108672,0.071423,0.124966,5,8,3,0,11,1,1,2,81
EMPS Chem Products,Other,Other Chem,2023,0.134460,0.029880,19,4,0.037350,0.000000,0.077924,5,17,12,0,29,0,0,0,4
Upstream,Upstream Unconventional,Midland CBP,2022,0.463365,0.071287,13,2,0.106930,0.000000,0.128651,3,2,6,1,9,0,1,1,34
EMPS Energy Products,Global,ALL,2019,0.052321,0.000000,1,0,0.052321,0.058275,0.000000,1,2,1,1,4,0,0,0,3
Upstream,Upstream Conventional/HO,Australia Conventional,2019,0.660010,0.031429,21,1,0.220003,0.215253,0.221963,7,2,6,0,8,0,0,0,1
Upstream,Upstream Conventional/HO,Chad,2020,0.037922,0.000000,1,0,0.000000,0.000000,0.000000,0,3,0,0,3,0,0,0,1
Upstream,Upstream Conventional/HO,Imperial Oil / Canada West,2020,0.285240,0.021942,26,2,0.065825,0.067945,0.063833,6,3,8,0,11,1,0,1,3
Upstream,Upstream Unconventional,Canada Unconventional,2019,0.916488,0.000000,10,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,3
Upstream,Upstream Conventional/HO,Kazakhstan,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Chad,2021,0.039657,0.000000,1,0,0.000000,0.000000,0.000000,0,1,0,0,1,0,0,0,1
EMPS Specialty Products,Finished Lubes,FL EAME MBU,2021,0.288462,0.000000,2,0,0.144231,0.149870,0.000000,1,0,0,0,0,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - EAME BNLG,2019,0.373536,0.000000,1,0,0.373536,0.383719,0.000000,1,1,0,0,1,0,0,0,0
Supply Chain Central Org.,Supply Chain Central Org.,Supply Chain Central Org.,2020,0.270097,0.135048,2,1,0.135048,0.211579,0.000000,1,1,1,0,2,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL NAP MBU,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Finished Lubes,FL SAP MBU,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Chem Products,Other,Other Chem,2022,0.133210,0.006055,22,1,0.018165,0.032844,0.000000,3,11,11,0,22,0,0,0,2
Upstream,Upstream Conventional/HO,Indonesia,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,1
EMPS Energy Products,Global,ALL,2022,0.057543,0.000000,1,0,0.057543,0.061495,0.000000,1,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Norway / Azerbaijan / CNNS,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Indonesia,2020,0.128255,0.000000,3,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - EAME BNLG,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Specialty Products,Other,ALL,2023,0.058113,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Midland CBP,2020,0.254734,0.000000,8,0,0.063683,0.000000,0.079198,2,2,3,0,5,0,0,0,49
Upstream,Upstream Unconventional,Delaware,2021,0.445421,0.034263,13,1,0.034263,0.000000,0.038925,1,2,1,0,3,0,0,0,45
Upstream,Upstream Conventional/HO,ALL,2022,0.164594,0.000000,56,0,0.014696,0.046751,0.003927,5,9,4,0,13,0,0,0,5
Upstream,Upstream Deepwater,Equatorial Guinea,2021,0.150788,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Chem Products,Other,Other Chem,2019,0.099492,0.014924,20,3,0.019898,0.029175,0.010184,4,33,25,87,145,0,0,0,6
Upstream,Upstream Conventional/HO,Norway / Azerbaijan / CNNS,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Argentina,2021,0.768096,0.000000,4,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Abu Dhabi,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,Mozambique,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,ALL,2021,0.187764,0.021665,26,3,0.014443,0.000000,0.018641,2,4,8,0,12,0,0,0,2
Upstream,Upstream Deepwater,Equatorial Guinea,2020,0.074446,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Iraq,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Nigeria,2022,0.039051,0.000000,1,0,0.000000,0.000000,0.000000,0,0,1,0,1,0,0,0,2
Upstream,Upstream Unconventional,Argentina,2020,0.353687,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,4
Upstream,Upstream Unconventional,Midland CBP,2019,0.635898,0.051559,37,3,0.103119,0.000000,0.113372,6,7,6,0,13,0,0,0,79
EMPS Other,ALL,ALL,2019,0.156085,0.016723,112,12,0.025085,0.027778,0.022868,18,132,117,113,362,0,0,0,61
EMPS Specialty Products,Finished Lubes,FL EAME MBU,2023,0.235360,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Netherlands / SNS,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,NA,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,ALL,2023,0.153227,0.024194,21,3,0.024194,0.000000,0.029511,3,3,5,0,8,0,0,0,1
EMPS Specialty Products,Finished Lubes,FL NA MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,1,0,1,2,0,0,0,0
Upstream,Upstream LNG,AP other,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,NA Other,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Conventional/HO,Australia Conventional,2020,0.414229,0.000000,10,0,0.041423,0.000000,0.060874,1,1,2,0,3,0,0,0,1
Upstream,Upstream Unconventional,Bakken,2023,0.272826,0.136413,4,2,0.136413,0.000000,0.159057,2,2,0,0,2,0,0,0,12
Upstream,ALL,ALL,2019,0.276579,0.023373,283,24,0.038955,0.041480,0.038278,40,49,53,3,105,2,1,3,290
Upstream,Upstream Deepwater,Equatorial Guinea,2023,0.094577,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Bakken,2022,0.334184,0.000000,6,0,0.055697,0.000000,0.065236,1,2,0,0,2,0,0,0,10
Upstream,Upstream Conventional/HO,ALL,2023,0.224122,0.011796,39,2,0.041286,0.052247,0.035672,7,2,13,0,15,0,1,1,4
Upstream,Upstream Unconventional,Central,2021,0.548333,0.078333,14,2,0.117500,0.215401,0.061550,3,4,2,0,6,0,0,0,44
Upstream,Upstream Deepwater,Nigeria,2019,0.040394,0.000000,3,0,0.013465,0.060466,0.000000,1,1,1,0,2,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - FUNM,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,ALL,2019,0.101617,0.000000,7,0,0.000000,0.000000,0.000000,0,3,6,0,9,0,0,0,1
EMPS Energy Products,AM Fuels,AM Fuels - US South,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Out of scope,Out of scope,Out of scope,2022,0.103057,0.001747,58,1,0.012227,0.007700,0.015986,7,24,16,0,40,0,0,0,2
Upstream,Upstream LNG,Qatar,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,AM Fuels,AM Fuels - US South,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Eastern Canada,2023,0.402417,0.000000,4,0,0.000000,0.000000,0.000000,0,0,1,0,1,0,0,0,0
Out of scope,Out of scope,Out of scope,2020,0.087852,0.003029,58,2,0.007573,0.003236,0.011390,5,36,22,0,58,0,0,0,2
Upstream,Upstream Unconventional,Delaware,2023,0.689125,0.000000,20,0,0.137825,0.354032,0.114514,4,2,4,0,6,0,0,0,22
ALL,ALL,ALL,2020,0.135317,0.010985,271,22,0.019474,0.019104,0.019739,39,209,143,4,356,2,1,3,224
Upstream,Upstream LNG,Australia LNG,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream LNG,AP other,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Unconventional,Argentina,2023,0.355367,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,2
Upstream,Upstream Conventional/HO,Kazakhstan,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
EMPS Energy Products,EAME Fuels,EAME Fuels - FUNM,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
Upstream,Upstream Deepwater,Angola,2023,0.134349,0.000000,6,0,0.000000,0.000000,0.000000,0,0,2,0,2,0,0,0,1
EMPS Energy Products,AM Fuels,AM Fuels - Canada,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0,0,0,0,0,0
