EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,ACTUAL_HURT_A3,ACTUAL_HURT_A4,SPILLS
Upstream,Conventional / HO,Australia Conventional,2020,0.414229,0.000000,10,0,0.041423,0.000000,0.060874,1,0,0,1
Product Solutions,Specialty Products,FL EAME MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,Mozambique,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Indonesia,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Guyana,2020,0.056104,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Out of scope,Out of scope,2022,0.146600,0.011498,51,4,0.020122,0.025685,0.015612,7,1,1,31
Upstream,UNC,Central,2020,0.365244,0.036524,10,1,0.073049,0.082616,0.065467,2,0,0,44
Upstream,UNC,Argentina,2023,0.355367,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,2
Upstream,Conventional / HO,ALL,2021,0.185791,0.015483,60,5,0.043351,0.053919,0.039094,14,0,0,4
Upstream,LNG,EAME other,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Nigeria,2023,0.107266,0.053633,3,1,0.053633,0.000000,0.117824,1,0,0,0
Upstream,Deep Water,Guyana,2023,0.147244,0.042070,7,2,0.042070,0.000000,0.044664,2,0,0,0
Upstream,Deep Water,Eastern Canada,2019,0.180697,0.000000,4,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Germany,2021,0.371865,0.000000,3,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Netherlands / SNS,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,PNG,2023,0.015622,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,1
Upstream,ALL,ALL,2021,0.204198,0.019519,136,13,0.031531,0.044424,0.026752,21,0,0,170
Upstream,ALL,ALL,2020,0.179222,0.016417,131,12,0.028730,0.044426,0.022712,21,2,1,181
Upstream,UNC,Midland CBP,2019,0.635898,0.051559,37,3,0.103119,0.000000,0.113372,6,0,0,79
Upstream,LNG,PNG,2019,0.089934,0.000000,6,0,0.000000,0.000000,0.000000,0,0,0,1
Product Solutions,Energy Products,AP Fuels - AP,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Norway / Azerbaijan / CNNS,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Norway / Azerbaijan / CNNS,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Out of scope,Out of scope,Out of scope,2021,0.106207,0.003372,63,2,0.008429,0.007187,0.009527,5,0,1,3
Upstream,UNC,Eastern,2019,0.374692,0.018735,20,1,0.037469,0.044017,0.032617,2,0,0,21
Product Solutions,Energy Products,AP Fuels - AP,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1
Upstream,Conventional / HO,ALL,2019,0.194447,0.015645,87,7,0.031290,0.036985,0.029475,14,0,0,9
Upstream,Deep Water,ALL,2022,0.154347,0.018522,25,3,0.043217,0.096837,0.030536,7,0,0,3
Upstream,Conventional / HO,Netherlands / SNS,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL LA MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,ALL,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,1
Upstream,Conventional / HO,Germany,2019,0.551142,0.000000,5,0,0.110228,0.190123,0.000000,1,0,0,2
Upstream,UNC,Delaware,2019,0.496100,0.028081,53,3,0.056162,1.032421,0.038133,6,0,0,74
Upstream,UNC,Argentina,2019,0.611215,0.076402,8,1,0.076402,0.000000,0.083168,1,0,0,3
Product Solutions,Energy Products,AM Fuels - US South,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Angola,2019,0.037241,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Chad,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AM Fuels - Canada,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,ALL,ALL,2021,0.148356,0.018976,86,11,0.031051,0.026980,0.035315,18,0,0,37
Product Solutions,Specialty Products,ALL,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL NA MBU,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Europe Opt & Trading,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,NA Other,2022,200000.000000,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Chad,2022,0.090497,0.000000,3,0,0.030166,0.000000,0.036824,1,0,0,0
Upstream,LNG,EAME other,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AM Fuels - Canada,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL SAP MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL NAP MBU,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Out of scope,Out of scope,Out of scope,2020,0.087852,0.003029,58,2,0.007573,0.003236,0.011390,5,0,0,2
Upstream,UNC,Central,2021,0.548333,0.078333,14,2,0.117500,0.215401,0.061550,3,0,0,44
Upstream,Conventional / HO,Iraq,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL LA MBU,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AP Fuels - AP,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,EAME Fuels - FUNM,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL EAME MBU,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,ALL,ALL,2023,0.147257,0.011687,67,5,0.021037,0.004684,0.037323,9,1,0,17
Product Solutions,Energy Products,EAME Fuels - EAME Trading,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL NA MBU,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,Mozambique,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,NA Other,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Kazakhstan,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Germany,2022,0.136668,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,US Conventional,2021,0.189051,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Angola,2023,0.134349,0.000000,6,0,0.000000,0.000000,0.000000,0,0,0,1
Product Solutions,Out of scope,Out of scope,2023,0.162926,0.003789,46,1,0.015156,0.008662,0.020205,4,1,0,13
Upstream,LNG,Qatar,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,UNC,Bakken,2019,0.634355,0.111945,17,3,0.186575,0.000000,0.203140,5,1,0,19
Product Solutions,Energy Products,AM Fuels - Canada,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,ALL,2021,0.187764,0.021665,26,3,0.014443,0.000000,0.018641,2,0,0,2
Upstream,Deep Water,Romania,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,UNC,Canada Unconventional,2019,0.916488,0.000000,10,0,0.000000,0.000000,0.000000,0,0,0,3
Product Solutions,Specialty Products,ALL,2021,0.112816,0.000000,3,0,0.037605,0.041462,0.000000,1,0,0,0
Upstream,Conventional / HO,Iraq,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,Australia LNG,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Out of scope,Out of scope,2021,0.104207,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL NAP MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,UNC,Argentina,2020,0.353687,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,4
Product Solutions,Specialty Products,FL NAP MBU,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,PNG,2021,0.029371,0.000000,2,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,NA,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL NA MBU,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Specialty Products,FL SAP MBU,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,AP other,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Product Solutions,Energy Products,AM Fuels - US South,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
