EARNINGS_VIEW_LVL1,EARNINGS_VIEW_LVL2,EARNINGS_VIEW_LVL3,CALENDAR_YEAR,TRIR,TRIR_P3_PLUS,TRI_CNT,TRI_P3_PLUS_CNT,LTIR,LTIR_EMP,LTIR_CONT,LTI_CNT,ACTUAL_HURT_A3,ACTUAL_HURT_A4,SPILLS
Product Solutions,Energy Products,ALL,2022,0.057543,0.000000,1,0,0.057543,0.061495,0.000000,1,0,0,0
Upstream,UNC,ALL,2020,0.315209,0.035684,53,6,0.053526,0.085542,0.041192,9,0,0,161
Product Solutions,Energy Products,AM Fuels - US South,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,ALL,2023,0.224122,0.011796,39,2,0.041286,0.052247,0.035672,7,0,1,4
Product Solutions,Chem Products,Other Chem,2023,0.134460,0.029880,19,4,0.037350,0.000000,0.077924,5,0,0,4
Upstream,Deep Water,Nigeria,2022,0.039051,0.000000,1,0,0.000000,0.000000,0.000000,0,0,0,2
Upstream,Conventional / HO,Iraq,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Deep Water,Romania,2020,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,LNG,ALL,2019,0.101617,0.000000,7,0,0.000000,0.000000,0.000000,0,0,0,1
Upstream,LNG,NA,2023,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Sakhalin,2021,0.066538,0.013308,5,1,0.039923,0.000000,0.046179,3,0,0,0
Upstream,LNG,EAME other,2021,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
ALL,ALL,ALL,2022,0.153325,0.010186,284,19,0.022516,0.027839,0.019182,42,2,3,213
Product Solutions,Energy Products,AP Fuels - AP,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,3
Upstream,Deep Water,NA Other,2019,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Kazakhstan,2022,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0,0,0,0
Upstream,Conventional / HO,Sakhalin,2020,0.036554,0.012185,3,1,0.024370,0.000000,0.028130,2,0,0,0
